scenarios;tot_cap;indiv_cap;tot_oil;tot_gas;W1_choke;W2_choke;W3_choke;W4_choke;W5_choke;W6_choke;W7_choke;W1_gas_mean;W2_gas_mean;W3_gas_mean;W4_gas_mean;W5_gas_mean;W6_gas_mean;W7_gas_mean;W1_oil_mean;W2_oil_mean;W3_oil_mean;W4_oil_mean;W5_oil_mean;W6_oil_mean;W7_oil_mean
10.0;250000.0;54166.0;95.71298122212119;214329.73088077042;56.13391926414089;0.0;36.39850118271957;31.14093352961331;33.99308834214219;39.748316651702886;37.73776889423368;36783.25877205835;0.0;31699.641608331993;27371.90008550788;34172.45265242405;45654.61273389919;38647.86502854896;21.073022528989416;0.0;15.969191342484077;14.53864844177834;12.817814107901267;15.771413524360057;15.542891276608039
10.0;250000.0;54166.0;90.03138786850229;198122.1966121968;56.13391926414142;0.0;33.45491717467507;31.140933529613108;33.06146781527097;36.599411839659155;34.246065891531174;35670.328270839134;0.0;30887.58106377686;23060.185656227688;33719.99798084523;39692.294063773785;35091.8095767341;21.073022528990283;0.0;13.887714049599332;14.538648441779161;12.258536388783826;14.533602450511205;13.739864008838486
10.0;250000.0;54166.0;101.29395510605852;224646.37157358046;56.133919264140886;27.857684994663206;47.8660655429036;31.14093352961323;33.99308834214218;36.599411839659155;34.24606589153125;38113.81821621438;23982.32289434938;25129.36901002381;24789.616523094945;32734.742639666558;38142.81594021419;41753.68635001717;21.073022528989412;5.807405465883615;18.78359810215618;14.53864844177831;12.81781410790155;14.533602450511205;13.73986400883824
10.0;250000.0;54166.0;93.73099080049383;219425.62353258283;50.271419282711165;26.48278082009866;34.22317643073486;31.140933529613054;33.99308834214219;36.599411839659155;34.198781292814665;37232.75490079458;18938.84924277768;35836.86891785834;22131.89285160436;26176.74721402329;38336.67101557967;40771.83938994496;18.40087964848686;5.32357813006203;14.43096818882782;14.53864844177835;12.817814107901334;14.533602450511237;13.685499832926196
10.0;250000.0;54166.0;87.92237910044206;190802.90787957946;56.13391926414089;33.169024752325264;34.476603547813504;31.140933529613108;33.993088342142336;36.59941183965929;0.0;37161.71200233848;38225.79042080011;26828.279244869354;27863.680654030402;22973.15109411881;37750.294463422324;0.0;21.073022528989416;10.349119123897808;14.610172447363952;14.53864844177834;12.817814107901299;14.533602450511236;0.0
10.0;250000.0;54166.0;92.96562299940958;219961.63480158974;50.27141928271167;25.863421875828426;33.52678177799767;31.14093352961322;33.99308834214219;36.599411839659155;34.15042308685805;37583.8732548929;17031.882392829517;34530.535827493964;30288.21921672708;23917.3368069648;41564.701360700754;35045.08594198073;18.40087964848703;5.106245848149305;13.938531196169421;14.53864844177832;12.817814107901375;14.533602450511252;13.62990130641287
10.0;250000.0;54166.0;94.7307840776265;225479.72072839955;50.271419282711626;27.481739310339808;36.39850118271957;31.140933529613132;32.54717135253123;36.599411839659155;34.17797670001044;32438.894025513455;23331.977659323835;32640.78420423229;29000.861478388408;33847.82994409892;36573.594240163075;37645.77917667955;18.400879648486974;5.6751105741923675;15.969191342484265;14.538648441778342;11.951771299597556;14.533602450511236;13.661580320575753
10.0;250000.0;54166.0;92.2468972786919;208075.23525575246;56.133919264140886;0.0;32.066514300555426;31.140933529613108;33.993088342142265;43.31030935725518;34.246065891531266;38445.67583182913;0.0;33859.29552084775;27313.541972637584;31381.539764852623;44172.95436260014;32902.22780298522;21.073022528989416;0.0;12.905941812775769;14.538648441778586;12.817814107901368;17.1716063784082;13.739864008838559
10.0;250000.0;54166.0;89.06443135285355;195456.8529530766;56.13391926414091;0.0;32.72336533212607;31.140933529613207;32.30760739655132;36.599411839659155;34.24606589153139;35779.12587852445;0.0;29291.438006410423;26877.656157342368;33294.70966635685;35446.910684914255;34767.01255952824;21.073022528989434;0.0;13.370416583424658;14.538648441778347;11.808877339311499;14.533602450511236;13.739864008838369
10.0;250000.0;54166.0;95.59006840651904;200882.83806656353;56.133919264140886;0.0;36.398501182719585;31.140933529613456;42.55889797178656;32.5043790139204;34.246065891531266;38250.09086243999;0.0;34582.708022472776;26132.24437247132;34562.88142900504;32722.030242962916;34632.88313721151;21.073022528989416;0.0;15.969191342484088;14.538648441778351;17.345466596792484;12.923875487636094;13.739864008838603
10.0;250000.0;54166.0;92.74297657544415;207691.7281004333;56.13391926414089;0.0;36.398501182719606;31.140933529637337;30.6625219887647;41.84557313040444;34.246065891531266;36244.241023647046;0.0;31797.585179883048;29219.15208987631;27972.76996128761;46108.7223644468;36349.25748129249;21.07302252898942;0.0;15.969191342484072;14.538648562766676;10.826420676438302;16.59582945592743;13.739864008838257
20.0;250000.0;54166.0;88.8278572737068;207550.50328838284;56.133919264140886;33.169024752325264;34.45316813839124;31.140933529613125;0.0;36.59941183965913;34.246065891531266;39261.34505978138;38597.30828883612;31729.97978625727;25200.942299100607;0.0;40089.06548059406;32671.862373813394;21.073022528989412;10.34911912389781;14.593600719691638;14.538648441778347;0.0;14.533602450511246;13.739864008838342
