;switch-off penalty
0;109.4751272960804
1;109.4354840289565
2;107.23262659554457
3;109.80273516068705
4;107.82009337329819
5;109.54378813993486
6;107.10403318623823
7;106.57197108073372
8;108.14385063126116
9;108.11700755553495
10;108.11082818534665
11;108.80294168791323
12;108.06159673199274
13;107.512406368167
14;109.35333694539024
15;107.01626535746458
16;107.98010424668419
17;107.21636870496042
18;109.56175766544672
19;107.07271127141188
20;108.42804047759267
21;108.69017542669191
22;107.63650792169592
23;108.78478793143822
24;108.51371164649946
25;107.45267703995457
26;108.06939838626042
27;110.13133371252188
28;107.67493394853632
29;107.87083611461699
30;109.6753322441468
31;108.1527399735972
32;108.82449990546316
33;109.2994064619046
34;110.3899257498954
35;107.28211865431757
36;108.74687776439684
37;108.43738872291785
38;110.1349715248568
39;108.85649486511349
40;108.13310667593504
41;108.31425885765694
42;107.09899764382256
43;109.68955842955263
44;108.36707523621176
45;108.09581123024981
46;108.29748461775965
47;108.76176328833013
48;106.72472999960337
49;109.14140653487073
50;107.72273523365351
51;108.7811653713948
52;107.28550645125074
53;109.2301074825028
54;107.90124610434096
55;108.03826962760387
56;108.34897987131204
57;107.11392285699459
58;107.53538520862152
59;108.9961370930448
60;107.42761151267383
61;109.0726471932344
62;107.0089437551872
63;109.24416444070644
64;108.17728977508708
65;109.75047173426717
66;107.71797087902908
67;107.0271753780118
68;107.80585357739908
69;109.56435122319091
70;108.02998788250305
71;108.15701509217236
72;108.27272163664414
73;108.03944391498666
74;109.61880359598663
75;107.65934631211424
76;109.04915030689078
77;108.30724301457107
78;108.25957822320449
79;108.18979215910784
80;108.53558567080906
81;108.14022297771635
82;107.54502532647498
83;108.09543584296827
84;108.72284559416694
85;108.46150993964515
86;109.1020939834202
87;107.08977300582242
88;109.05307968336729
89;108.50454885698208
90;109.68398497530684
91;108.15284004032888
92;110.05418114601179
93;108.19521775732159
94;107.89728038470855
95;108.1218978874892
96;109.32409703872369
97;109.14246224151958
98;107.36587031998293
99;109.34499928878151
100;107.27697823849351
101;107.23450515112827
102;107.55958569137422
103;108.82047796582644
104;107.90484363755512
105;108.120577104382
106;109.64717362329522
107;106.9043149399482
108;108.41231513190588
109;109.08155943221212
110;107.46667789243864
111;108.92195960824154
112;108.44026904800184
113;107.3856724751588
114;107.94129038785583
115;107.71557946852131
116;109.49421264976615
117;108.92313218659487
118;108.38316957873116
119;108.56365820309713
120;108.62699109916923
121;108.64614784335473
122;107.80515773109482
123;108.63017658316595
124;108.33153948876387
125;107.77811973983351
126;108.05986388469117
127;106.36681903600879
128;107.9139746216135
129;108.654914112999
130;109.28215454073812
131;105.90299330535481
132;108.07586951496401
133;107.90356527725314
134;106.7945629483005
135;108.47224005969036
136;106.68296590635173
137;108.09706369455705
138;108.21051182785489
139;109.64164262426432
140;108.98139352017375
141;107.841568892752
142;108.35917775149672
143;108.25109690384552
144;109.49917542427522
145;108.42222005294396
146;109.12341901894442
147;107.81509404744808
148;108.91430537554537
149;107.68032636231798
150;108.35248282836164
151;108.01332780093144
152;108.90468517171824
153;107.43703645097469
154;107.83035447359016
155;107.57909348043462
156;108.03075859223816
157;108.06215230245635
158;107.16370507138814
159;108.42492581689899
160;107.75370928466845
161;108.65376081723574
162;108.31446087579394
163;107.56699288958258
164;109.74199358257916
165;108.69277077230495
166;108.73922705846438
167;107.36594103366501
168;109.58077735712901
169;105.67061085891072
170;108.52929425859284
171;108.26272583746784
172;108.0603635674188
173;107.4950866770818
174;106.81011065194237
175;111.0091876821637
176;108.4717563465085
177;108.22297617195044
178;109.03795474772902
179;108.09458522983613
180;107.80542566243822
181;108.70167162941799
182;110.17457957254902
183;108.457568830968
184;108.09262386495264
185;107.4144111505795
186;107.84255929503556
187;109.26915947041
188;107.75203478229706
189;108.4107908007654
190;108.39160188632769
191;110.05322551609969
192;107.89178836725522
193;107.07006884353744
194;107.76172231795313
195;108.50739086128002
196;109.02291828370498
197;107.3533962234627
198;108.80768946275559
199;109.26641441668642
